Timestamp, Request ID, URI, Method
Timestamp, Request ID, URI, Method, CPU Load
2024-07-24 08:56:55, 348a3f84-7834-4466-8322-e297ab552265, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:57:00, ca9f2fba-f93a-4407-8e7b-9e0f6096345f, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:57:10, 014737b9-ea46-4ef2-9293-f3c88076f9f7, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:57:15, d504aa2a-7854-49a7-af53-c36b61edd948, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:56:30, 902d09dc-c2cd-4bf5-a7a1-621a8b63d4a8, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:56:20, 93ae799d-4772-4bea-b882-5764acf8b684, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:10, c2f59306-3b97-4463-8e2e-bfddf0f09dd1, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:45, 024392b9-34da-4a7c-8db1-2b5e1017ec12, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:57:05, fcbd37e5-5c99-48e8-9162-dab4074ce508, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:56:55, 219528a7-4d6b-44b5-ace2-8c74ad7cd49a, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:05, 90c7bc99-fe97-4dad-9e89-6d08de8f4964, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:56:35, 7c4d3035-b8bc-4c17-b033-3df22c4ff956, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:20, e5da570b-0158-46d6-8628-c81d24da0cf9, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:10, 3ae54696-92be-4c88-b492-773554873819, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:15, 78326e7a-5716-4b4b-b6e6-bfec14ee3b32, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:55, b2ee4582-0767-4ee7-b391-b2163ba54530, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:45, 64af5a08-98dc-45bf-acf3-ebd9deaac838, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:57:20, 39f578c0-cddd-4985-bd99-5f10d9240901, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:56:35, d71b2ac6-acf0-4d53-81b5-33f1fdc1b342, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:57:15, 5f90aec0-ef7b-4ebb-9224-3a7e473f8aee, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:56:50, c5dd2f84-77d9-4f20-bbe1-98bc1d652528, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:05, cda35d33-eff7-43b2-afe9-2329ffcd46fd, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:25, 28c26365-19c3-4ce4-bfe9-54f589bf1cb3, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:30, 584e1262-778e-4013-86e2-df3bc5a69208, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:05, 9d1f0dd4-ab34-46c0-9d57-f7363d352be6, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:57:10, 34b18a08-73d5-42de-8207-92b555aac8c7, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:55, d05b8226-ee6d-4154-a51c-9eed9ae0a5a5, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:15, 34b01895-6f7b-40ec-87c6-6b90c09531ee, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:55, fcdd6949-f347-4585-95fa-064371218303, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:10, 3ed99315-aaf9-408c-a5ad-094fb8d6dd0e, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:57:00, 94b2a772-9fbb-4397-a064-509d30dd0b08, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:56:50, cd9e345c-a2f7-4c88-b489-ba10875948e1, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:55, 19f481d8-8c17-4e64-a730-01ded6df5531, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:15, 3eb2fbae-3188-474d-877c-a1375117440c, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:45, 7c6c9d78-8565-4012-9bfe-bd8c10a229b9, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:56:05, f71bc8fc-8a02-4001-95c4-7efa788878d6, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:45, 4d471ef3-9077-485b-a943-0da26d1df6f6, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:10, 9879d596-091a-4942-baf3-f4744c79d63a, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:40, 053cb3bd-d574-40ef-afe8-50e141bea897, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:57:20, 4e11ff4d-c16f-4240-8e66-7d1c5db4499d, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:56:15, e5da570b-0158-46d6-8628-c81d24da0cf9, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:15, 5809ffec-ead6-48f9-bda7-e315dd754a21, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:55, 123fd00a-50be-4914-9b21-38ccb34cdaf8, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:56:45, c7d6c1fb-ed4d-435b-a67c-e714830bb64a, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:56:50, a3760e70-94f6-4cdf-a103-e0416eff502f, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:05, 758fdeec-c393-4ba8-a68d-a69c3c348587, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:57:05, 58d60ce0-c4f6-4fee-ae49-8fd587082179, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:15, 646d997e-9b6a-4333-b94d-5223491d53cb, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:05, 9686ff66-35f7-4bae-9eb6-b0d4a83227f0, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:10, 6dd1af2c-8ac6-4c7d-bdbd-79974409da2a, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:55, d315110a-e972-40a5-bedd-4c94bad0e7a3, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:15, 04e177cc-996e-487e-bc38-058765dd8393, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:35, 09146082-39bf-4a0e-9eaa-f0d1d4240367, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:50, 5d378f83-91a6-4fde-9a3f-8068dfcbf1b9, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:25, 894a2931-1d9c-4ffb-aaec-2167124d7235, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:50, 545c4be5-25c8-4cc3-a573-daf6c40af5d3, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:56:45, 5957dc27-e1bf-4586-bc86-4ecd5bb95656, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:15, c914314c-1559-42c6-8b73-6e80a1e03748, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:56:50, 8ea90450-3348-4412-a1e9-9e23bbb41e84, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:55, 0ff9e59e-36bf-4ad2-8993-d555d08b6ab0, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:57:05, 053cb3bd-d574-40ef-afe8-50e141bea897, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:56:55, 64ea8151-258c-495b-b98b-ea44560ba716, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:57:10, 50d87efe-3bd4-408f-856f-a5ad0578fda6, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:45, 24a22e8e-1548-486b-a38a-894344c57ecf, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:57:20, 9fe5c58f-aa6e-4d0a-9a95-87a7a9cd3793, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:05, 933b9246-b9a6-4568-b683-85e30e5e8ce7, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:05, 55f57ad4-e224-4665-844e-a4af0a42b32d, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:30, dc47a7cb-5e99-4d8a-b20d-03bfead1ec8c, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:45, c28f27ba-f943-4cb0-bfee-2243d3938f8d, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:10, f71bc8fc-8a02-4001-95c4-7efa788878d6, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:25, 60ead4fe-8a27-4d32-9094-88b0be5f12ab, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:45, 817d4188-f9e5-4537-a83f-9a9577531bde, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:57:05, 1e265a3e-380a-49cd-9de9-b4e2ea3f5347, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:40, 9d1f0dd4-ab34-46c0-9d57-f7363d352be6, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:56:40, 3eb2fbae-3188-474d-877c-a1375117440c, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:55, 0e54e2cb-4005-4896-9567-836e45bb615f, CPU Load: -1.0, /api/v1/pets/1/visits, GET, PLATINUM
2024-07-24 08:56:40, dcf3c611-4348-4107-be30-b44ed20fcb17, CPU Load: -1.0, /api/v1/auth/validate, GET, null
2024-07-24 08:56:40, 045d4824-ad1f-4b64-8bad-af0c39ae846a, CPU Load: -1.0, /api/v1/pets, GET, PLATINUM
2024-07-24 08:56:15, 27346536-bf0a-4ae6-ba1d-c1ff6d93c834, CPU Load: -1.0, /api/v1/auth/signin, POST, null
